Title,Company,CompanyRating,Location,Salary
Delivery Associate – E-Biker,Dutch-X,3.5,"New York, NY ",32400.0
JFK Wheelchair Dispatcher Full-Time,ERMC Aviation LLC,,"Jamaica, NY ",45360.0
Restaurant Server,Glass House Tavern,3.3,"New York, NY ",64800.0
Concierge,Soho Grand Hotel,3.5,"New York, NY ",
Cancer Registrar,Catholic Health,3.5,"New York, NY ",
"Associate Program, Client Service - Portuguese Fluency-January/Summer 2023",AlphaSights,3.9,"New York, NY ",7.0
Tutor,Study Evolution Edtech,5.0,"New York, NY ",49680.0
"Sales Associate - Ganni, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Restaurant Crew Member,Chipotle Mexican Grill,3.5,"New York, NY +1 location",36720.0
Customer Relations Supervisor,Viking Cruises US,3.3,United States ,
Food Delivery Driver 送餐员 Flexible schedule,Fantuan Delivery,,"Queens, NY ",
Patient Care Representative - Lower Manhattan,SHM CityMD,,"Manhattan, NY ",
Customer Operations Agent (Weekends and Nights),FanDuel,3.8,"Jersey City, NJ ",
Seasonal Customer Service Representative,Uncommon Goods,4.2,"Brooklyn, NY ",43200.0
"ADMIN, OFFICE PERSONNEL - HOURLY (FULL-TIME)",ESFM,3.4,"New York, NY ",54000.0
"Retail Fitting Room Associate, Herald Square - Standard Part Time",Macy’s,3.6,"New York, NY ",32400.0
"Seasonal Sales Associate - Home, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Bus Attendant (2022-2023),Classical Charter Schools,3.1,"New York, NY ",
Cybersecurity Examination Specialist,National Futures Association,3.8,"New York, NY ",
"The North Face Sales Associate (New York, New York, NY)",The North Face,4.0,"New York, NY +1 location",
Overnight Dishwasher,Guesthouse NY,,"New York, NY ",43200.0
Dishwasher,La Pecora Bianca,4.1,"New York, NY ",36720.0
Legal Assistant,Seer Solutions Inc.,,"New York, NY ",90720.0
Service Writer/Advisor - Independent Auto Repair Shop,Champion Auto Repair,,"Brooklyn, NY ",
Training Avail Home Health Aide HHA/Personal Care Aide PCA $21+/hr* + Bonus,Selfhelp Community Services Foundation Inc,3.3,"New York, NY ",
Front Desk Agent,"Hotel Barriere Fouquet, Tribeca",,"New York, NY ",43200.0
Restaurant Team Member - Crew (642 - 200 Varick),Chipotle,3.5,"New York, NY ",
Delivery Associate - Foot Courier,Amazon DSP,,"New York, NY ",34560.0
Box Office Ambassador,SUMMIT One Vanderbilt,,"New York, NY ",49680.0
Contact Representative (Customer Service Representative),US Social Security Administration,3.6,"New York, NY ",3.0
Temporary Sales/Support Associate - 685 5TH AVENUE,Coach,3.9,"New York, NY ",32400.0
Part-time Online Community Moderator,Vesta,,"Manhattan, NY ",
Home Cleaner - 1099/Contractor,Intraserve Professional,,"New York, NY ",47520.0
Transportation Coordinator /Greeter (Part Time) - JFK International Airport,IW Group,,"John F. Kennedy International Airport, NY ",75600.0
Patient Care Representative - Upper Manhattan,SHM CityMD,,"Manhattan, NY ",
Contract Educator,Lululemon,4.2,"New York, NY ",32400.0
"Seasonal Brand Sales Stock Support Associate - Calvin Klein Mens Outerwear , Herald Square - Full Time",Macy’s,3.6,"New York, NY ",32400.0
Dog Walker/Pet Sitter,Happy Pets NYC,,"Forest Hills, NY ",
Deicer - JFK,Swissport International Ltd.,3.2,"Jamaica, NY ",56160.0
Driver,HR NOW (2),,"New York, NY +1 location",47520.0
Cashier,Foot Locker,3.9,"New York, NY +4 locations",
Delivery Courier $17/Hour + 100% of Tips! All Equipment Provided!,Getir,,"New York, NY ",
Assistant Store Manager,TJ Maxx,3.7,"New York, NY ",47520.0
Overnight Store Associate,CVS Health,3.3,"New York, NY +1 location",32400.0
Part Time Retail Sales Consultant,AT&T,3.7,"New York, NY ",
Inventory Control Specialist,Dolce & Gabbana,3.8,"New York, NY ",7.0
Evening Dog Walker,Swifto,,"Manhattan, NY ",41040.0
Receptionist,Woods Bagot,3.3,"New York, NY ",5.0
Retail Cashier,Mango,3.6,"New York, NY ",36720.0
Youth Specialist,Noble Hearts HR Consulting,,"Bronx, NY ",
Registrar - Receptionist,St. Barnabas,3.3,"Bronx, NY ",
"Sales Associate - Fendi, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
"Sales Associate - Ferragamo, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
"Seasonal Recovery Support Associate, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
"Research Specialist, A&R - Disruptor Records",Sony Music Entertainment US,4.3,"New York, NY ",
Part-Time Overnight Merchandise Processing,The Container Store Inc.,3.8,"New York, NY ",36720.0
GUCCI Apprentice - New York Fifth Avenue,Gucci,4.0,"New York, NY ",
"Channel Lead, TikTok",Etsy,4.3,"Brooklyn, NY ",9.0
Receptionist,eTeam InfoServices Pvt. Ltd,,"New York, NY ",64800.0
