Title,Company,CompanyRating,Location,Salary
Packing and Shipping Team Member,Magnolia Bakery,3.4,"Long Island City, NY ",$16 - $19 an hour
Chick-fil-A Team Members and Leaders 1000 6th Ave & 219 W 34th St,Chick-fil-A,3.9,"New York, NY ",$16 - $21 an hour
Part-Time Front Desk Administrator,American Infusion Centers,,"New York, NY ",
"AT&T Retail Sales Associate - W. 23rd Street - New York, NY",Millennium Wireless Technology,4.8,"New York, NY +2 locations","$42,109 - $104,243 a year"
Entry-Level Stagehand,production glue llc,,"New York, NY ",$25 an hour
Workplace Service Coordinator - New York,TikTok,3.4,"New York, NY ",
Administrative Assistant,MCR Hotels,4.0,"New York, NY ","$70,000 - $80,000 a year"
Data Entry Clerk,Jason R. Johnston,3.3,"New York, NY ",$14.33 - $21.90 an hour
Front Desk Receptionist,Centers Health Care,3.6,"Brooklyn, NY ",
Front Desk Receptionist,Advanced Dental Care,3.1,"Brooklyn, NY ",$17 - $21 an hour
Warehouse Picker Order Selector,Keurig Dr Pepper,3.1,"Maspeth, NY ",$21.50 an hour
Custodian,Mobile Health,3.1,"Brooklyn, NY ",$17 - $19 an hour
Front Desk Associate,Courtyard New York Midtown West,,"New York, NY ",$25 an hour
"Home Cleaner - Part-time ""ON CALL"" | SPANISH (3 - 12 hours weekly)",Cleaning Pros,3.4,"New York, NY ",$16 - $19 an hour
Part-Time Cashier,ALDI,3.3,"Bronx, NY +4 locations",$19 an hour
Overnight Concierge (Union),Brookfield Properties,3.7,"New York, NY ",$27.00 - $27.07 an hour
Receptionist,Meliora,,"New York, NY ","$43,692 - $47,598 a year"
"Paws Down, The Best Dog Walkers in NY. $300-$700 per week",NYC POOCH,4.7,"New York, NY ",$300 - $700 a week
Afternoon babysitters in Manhattan (start ASAP!),Apiari,,"Manhattan, NY ",$25 - $33 an hour
Hotel Front Desk Clerk,SECURITY USA INC.,3.6,"Manhattan, NY ",$20 an hour
Hotel Front Desk professional $20hr,SECURITY USA INC.,3.6,"Manhattan, NY ",$20 an hour
Servers needed for Upscale Hell's Kitchen Restaurants- Marseille and Nizza,Marseille,,"New York, NY ","$1,200 - $1,800 a week"
Behavior Technician,Momentum Behavior Care,,"New York, NY ",
Busser,Virgils Real BBQ - Time Square,,"New York, NY ",$600 - $800 a week
Ice Cream Server/Cashier,Holey Cream,,"New York, NY ",$15 - $20 an hour
Trabajos de Limpieza (Medio Tiempo),IBS-Building Service Contractors Inc,,"New York, NY ",
Front Desk Receptionist,Integrative Spine and Sports,,"New York, NY ",
Dispatcher for Amazon DSP,DND Delivery LLC,,"Maspeth, NY ",$23 - $25 an hour
Customer Service Associate,Manhattan Connections,,"New York, NY ","$700 - $1,500 a week"
Child Care Worker,Life Time,3.5,"Brooklyn, NY +1 location",$20 - $25 an hour
Restaurant Open Call- Hiring for BOH+ FOH positions!,Jupiter,3.9,"New York, NY ","$37,365 - $159,903 a year"
Mobile Medical Assistant,Aura,3.7,"Manhattan, NY ",$40 - $50 an hour
Customer Service Representative (part-time) - NYC,Lumen,3.5,"New York, NY ",
Patient Care Associate,Northwell Health,3.9,"New York, NY ",
Customer Service Representative,Cambridge West Inc.,,"New York, NY ",$750 - $950 a week
RECEPTIONIST,Flik Hospitality Group,3.5,"New York, NY ",$25 an hour
Cashier - JFK Airport,HMSHost,3.1,"New York, NY ",$18 an hour
Private Nanny,Private Family,,"New York, NY ",$25 an hour
JFK Wheelchair Agent Part-Time,ERMC Aviation LLC,,"Jamaica, NY ",$18 an hour
Brooklyn Dog Walker Needed,Swifto,,"Brooklyn, NY ",$19 an hour
Dispatcher,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY +1 location","$700 - $1,100 a week"
Stagehand,production glue llc,,"New York, NY ",$35 - $40 an hour
"Seasonal Gift Wrap Associate, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
Warehouse Selector,Krasdale Foods Inc,3.2,"Bronx, NY ",$17.50 an hour
Stockroom Retail Assistant - $16.50/HR,Primark - US,3.5,"New York, NY ",$16.50 an hour
